>>> %Run -c $EDITOR_CONTENT
p_0 = 102074.488, T_0 = 15.75, h_0 = -0.0, LAMBDA = -0.0065, EXP = 0.19004424, 
p_t = 101891.51, T_t = 12.6, h_t = -0.8261204
p_t = 101902.81, T_t = 12.6, h_t = -0.77499336
p_t = 101908.48, T_t = 12.6, h_t = -0.7494298
p_t = 101890.696, T_t = 12.59, h_t = -0.82973108
p_t = 101891.47, T_t = 12.56, h_t = -0.8262648
p_t = 101902.81, T_t = 12.6, h_t = -0.77499336
p_t = 101896.4, T_t = 12.63, h_t = -0.8040231
p_t = 101895.66, T_t = 12.66, h_t = -0.8073449
p_t = 101896.58, T_t = 12.73, h_t = -0.80315656
p_t = 101899.83, T_t = 12.75, h_t = -0.788425
p_t = 101899.0, T_t = 12.75, h_t = -0.7921801
p_t = 101893.42, T_t = 12.78, h_t = -0.817454768
p_t = 101899.91, T_t = 12.79, h_t = -0.7881362
p_t = 101905.624, T_t = 12.83, h_t = -0.7622838
p_t = 101904.89, T_t = 12.89, h_t = -0.7656056
p_t = 101904.516, T_t = 12.91, h_t = -0.767338736
p_t = 101898.08, T_t = 12.94, h_t = -0.7963685
p_t = 101902.516, T_t = 12.91, h_t = -0.776293168
p_t = 101895.128, T_t = 12.83, h_t = -0.8096557
p_t = 101896.63, T_t = 12.77, h_t = -0.8028677
p_t = 101898.14, T_t = 12.71, h_t = -0.796079636
p_t = 101901.31, T_t = 12.66, h_t = -0.7817814
p_t = 101899.57, T_t = 12.58, h_t = -0.7895804
p_t = 101901.84, T_t = 12.49, h_t = -0.77932616
p_t = 101898.88, T_t = 12.42, h_t = -0.7927578
p_t = 101902.41, T_t = 12.35, h_t = -0.7768709
p_t = 101896.72, T_t = 12.31, h_t = -0.8025788
p_t = 101897.44, T_t = 12.28, h_t = -0.79925704
p_t = 101902.22, T_t = 12.24, h_t = -0.77773748
p_t = 101897.78, T_t = 12.23, h_t = -0.79766832
p_t = 101898.97, T_t = 12.22, h_t = -0.79232456
p_t = 101904.17, T_t = 12.2, h_t = -0.7689274
p_t = 101895.26, T_t = 12.18, h_t = -0.809078036
p_t = 101890.808, T_t = 12.17, h_t = -0.8292978
p_t = 101898.81, T_t = 12.15, h_t = -0.79304664
p_t = 101893.1, T_t = 12.12, h_t = -0.81889908
p_t = 101896.332, T_t = 12.1, h_t = -0.80431192
p_t = 101897.07, T_t = 12.07, h_t = -0.80099016
p_t = 101889.808, T_t = 12.06, h_t = -0.833775
p_t = 101895.45, T_t = 12.06, h_t = -0.80821144
p_t = 101897.83, T_t = 12.04, h_t = -0.7975239
p_t = 101900.66, T_t = 12.04, h_t = -0.784814336
p_t = 101896.18, T_t = 12.03, h_t = -0.8050341
p_t = 101889.808, T_t = 12.06, h_t = -0.833775
p_t = 101891.75, T_t = 12.02, h_t = -0.82496492
p_t = 101892.1, T_t = 12.01, h_t = -0.82337624
p_t = 101892.93, T_t = 12.01, h_t = -0.81962116
p_t = 101896.95, T_t = 12.0, h_t = -0.80142344
p_t = 101897.76, T_t = 12.01, h_t = -0.797812736
p_t = 101896.18, T_t = 12.03, h_t = -0.8050341
p_t = 101899.46, T_t = 12.05, h_t = -0.79015816
p_t = 101901.47, T_t = 12.05, h_t = -0.78105928
p_t = 101905.12, T_t = 12.05, h_t = -0.7645946
p_t = 101902.28, T_t = 12.05, h_t = -0.7774486
p_t = 101893.36, T_t = 12.03, h_t = -0.8177436
p_t = 101897.4, T_t = 12.02, h_t = -0.79940148
p_t = 101896.18, T_t = 12.03, h_t = -0.8050341
p_t = 101899.46, T_t = 12.05, h_t = -0.79015816
p_t = 101903.484, T_t = 12.04, h_t = -0.7719604
p_t = 101897.83, T_t = 12.04, h_t = -0.7975239
p_t = 101899.016, T_t = 12.03, h_t = -0.7921801
p_t = 101902.28, T_t = 12.05, h_t = -0.7774486
p_t = 101899.83, T_t = 12.04, h_t = -0.788425
p_t = 101899.46, T_t = 12.05, h_t = -0.79015816
p_t = 101906.81, T_t = 12.1, h_t = -0.75694
p_t = 101899.58, T_t = 12.12, h_t = -0.7895804
p_t = 101903.6, T_t = 12.11, h_t = -0.7713827
p_t = 101899.08, T_t = 12.07, h_t = -0.7918913
p_t = 101897.4, T_t = 12.02, h_t = -0.79940148
p_t = 101900.22, T_t = 12.02, h_t = -0.7866919
p_t = 101892.93, T_t = 12.01, h_t = -0.81962116
p_t = 101898.89, T_t = 11.96, h_t = -0.7927578
p_t = 101898.52, T_t = 11.98, h_t = -0.7943465
p_t = 101899.31, T_t = 11.98, h_t = -0.79088024
p_t = 101901.84, T_t = 12.03, h_t = -0.77947052
p_t = 101901.53, T_t = 12.08, h_t = -0.7807704
p_t = 101904.11, T_t = 12.17, h_t = -0.7690719
p_t = 101900.14, T_t = 12.21, h_t = -0.7871252
p_t = 101898.66, T_t = 12.27, h_t = -0.7937688
p_t = 101893.868, T_t = 12.31, h_t = -0.8154328
p_t = 101900.016, T_t = 12.37, h_t = -0.787558436
p_t = 101894.86, T_t = 12.43, h_t = -0.8109556
p_t = 101902.47, T_t = 12.39, h_t = -0.77658208
p_t = 101897.64, T_t = 12.39, h_t = -0.798390436
p_t = 101898.45, T_t = 12.4, h_t = -0.79463532
p_t = 101902.16, T_t = 12.44, h_t = -0.77788184
p_t = 101899.49, T_t = 12.54, h_t = -0.79001376
p_t = 101899.57, T_t = 12.58, h_t = -0.7895804
p_t = 101895.92, T_t = 12.57, h_t = -0.8061895
p_t = 101902.77, T_t = 12.56, h_t = -0.7751378
p_t = 101891.51, T_t = 12.6, h_t = -0.8261204
p_t = 101901.18, T_t = 12.59, h_t = -0.7823591
p_t = 101895.53, T_t = 12.59, h_t = -0.8079226
p_t = 101896.3, T_t = 12.56, h_t = -0.80445636
p_t = 101900.25, T_t = 12.51, h_t = -0.7865475
p_t = 101893.36, T_t = 12.49, h_t = -0.8177436
p_t = 101896.18, T_t = 12.49, h_t = -0.8050341
p_t = 101897.376, T_t = 12.48, h_t = -0.7995459
p_t = 101899.44, T_t = 12.51, h_t = -0.7903026
p_t = 101895.052, T_t = 12.53, h_t = -0.810089
p_t = 101893.47, T_t = 12.56, h_t = -0.8171659
p_t = 101904.46, T_t = 12.61, h_t = -0.7674832
p_t = 101892.376, T_t = 12.64, h_t = -0.82222088
p_t = 101898.49, T_t = 12.66, h_t = -0.79449096
p_t = 101900.55, T_t = 12.69, h_t = -0.7852476
p_t = 101895.31, T_t = 12.71, h_t = -0.8089336
p_t = 101897.41, T_t = 12.74, h_t = -0.79940148
p_t = 101902.28, T_t = 12.77, h_t = -0.7774486
p_t = 101899.0, T_t = 12.75, h_t = -0.7921801
p_t = 101898.14, T_t = 12.71, h_t = -0.796079636
p_t = 101894.83, T_t = 12.65, h_t = -0.8111
p_t = 101895.21, T_t = 12.64, h_t = -0.8093669
p_t = 101896.4, T_t = 12.63, h_t = -0.8040231
p_t = 101892.33, T_t = 12.6, h_t = -0.8223653
p_t = 101903.64, T_t = 12.6, h_t = -0.77123824
p_t = 101898.81, T_t = 12.61, h_t = -0.79304664
p_t = 101900.448, T_t = 12.62, h_t = -0.7856809
p_t = 101900.55, T_t = 12.69, h_t = -0.7852476
p_t = 101896.63, T_t = 12.77, h_t = -0.8028677
p_t = 101900.78, T_t = 12.83, h_t = -0.78423668
p_t = 101895.128, T_t = 12.83, h_t = -0.8096557
p_t = 101898.86, T_t = 12.91, h_t = -0.79290224
p_t = 101898.14, T_t = 12.97, h_t = -0.796079636
p_t = 101895.42, T_t = 13.04, h_t = -0.80835584
p_t = 101903.47, T_t = 13.02, h_t = -0.7721048
p_t = 101899.016, T_t = 13.01, h_t = -0.7921801
p_t = 101894.984, T_t = 13.02, h_t = -0.8103779
p_t = 101897.81, T_t = 13.02, h_t = -0.7975239
p_t = 101897.03, T_t = 13.05, h_t = -0.8011346
p_t = 101895.48, T_t = 13.08, h_t = -0.808067
p_t = 101893.91, T_t = 13.1, h_t = -0.815288368
p_t = 101902.516, T_t = 13.17, h_t = -0.776293168
p_t = 101892.488, T_t = 13.23, h_t = -0.8216432
p_t = 101900.64, T_t = 13.29, h_t = -0.784814336
p_t = 101897.37, T_t = 13.27, h_t = -0.7995459
p_t = 101895.64, T_t = 13.18, h_t = -0.8073449
p_t = 101896.42, T_t = 13.15, h_t = -0.80387864
p_t = 101897.19, T_t = 13.12, h_t = -0.8004124
p_t = 101901.22, T_t = 13.11, h_t = -0.7822147
p_t = 101896.732, T_t = 13.1, h_t = -0.8024344
p_t = 101898.0, T_t = 13.13, h_t = -0.7966573
p_t = 101894.81, T_t = 13.18, h_t = -0.8111
p_t = 101898.58, T_t = 13.26, h_t = -0.79405768
p_t = 101897.47, T_t = 13.34, h_t = -0.7991126
